F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Target1,Target2,Target3,Target4,Target5
62,2.74,101.9,36.18,65.12,26.6,0.139,391.8,328,1.64,100.873,1.58,10065,22.5,1814,0.835,1.996,67.5,2.62,228.24
66,1.64,46.7,37.65,166.05,42.5,0.32,217.7,180,0.58,102.178,2.43,389,25.8,1280,0.787,1.829,65.1,8.79,57.64
31.7,2.63,74.9,35.2,95.33,27.3,0.131,145.1,197,1.4,101.222,1.5,1601,25.4,724,0.84,0.913,69.1,5.62,21.31
65,1.05,44.4,18.2,146.16,32.4,0.294,298.1,78,1.55,100.005,2.79,9058,17,874,0.674,0.868,55.3,2.02,14.24
39.4,2.23,69.9,26.39,80.28,38.9,0.201,189.3,357,1.21,94.701,1.78,610,21.5,1674,0.81,0.976,69,8.92,54.14
32.2,1.47,60.2,40.42,53.24,38.7,0.34,273.9,211,1.86,102.765,2.23,9062,15.9,267,0.754,0.858,61.8,9.07,37.12
86.2,1.22,96.9,13.92,198.88,40.4,0.168,283.8,389,1.59,97.078,1.87,6834,17.2,658,0.748,0.39,63.6,8.92,32.3
90.4,1.14,73,20.77,65.16,29.3,0.282,228,110,1.67,104.602,2.68,369,30.4,1176,0.881,0.867,70.7,3.98,20.04
76.2,2.39,54.5,21.15,194.53,36.7,0.167,349.1,174,0.81,98.434,2.01,4363,31.8,1325,0.838,1.447,67.4,4.92,71.26
49,1.68,37.7,27.38,193.37,40.2,0.311,176.4,120,1.66,98.538,2.51,7703,30.9,1536,0.719,1.2,57.3,8.17,18.55
36.2,2.46,42.5,50.11,167.19,49.1,0.362,234.7,375,1.77,98.913,1.98,5925,28.7,665,0.879,2.021,71.5,5.67,159.8
71.4,1.09,45.7,12.37,141.43,44.1,0.136,254.1,292,1.07,100.026,2.75,9133,31.3,290,0.826,0.324,67.9,3.22,20.37
57.7,1.63,47.8,31.32,134.78,48,0.356,302.8,298,0.83,97.222,1.55,8924,26.4,1912,0.894,1.922,69.6,3.89,147.62
37.3,2.03,89.8,17.22,173.61,44.3,0.276,340,270,1.09,98.185,1.91,3376,28.6,153,0.832,0.713,67.3,9.9,56.03
61.5,2.65,69.6,49.87,86.05,38.4,0.136,225,70,1.61,101.822,2.23,847,27,191,0.886,2.022,69.3,3.22,25.6
31.9,1.67,66.7,14.84,113.83,29.7,0.226,298.8,131,1.1,102.663,1.56,9449,25.3,974,0.824,0.624,66.8,7.64,20.02
85.1,2.3,36.4,24.87,137.71,41.1,0.15,147.6,393,1.64,97.786,1.81,5355,22.5,1640,0.836,1.964,68.2,5.9,94.2
45.4,2.64,88.4,40.34,102.39,40.2,0.32,385,59,0.69,100.617,2.87,755,30,1599,0.902,1.625,70.6,7.86,32.02
68.5,2.22,80.1,39.02,108.3,40.3,0.329,214,61,1.66,98.939,3.01,8191,21.3,1874,0.87,1.928,73.1,7.28,24.11
47.4,1.46,35.3,26.23,90.6,37.2,0.132,329.2,312,0.89,100.986,2.61,8537,25.3,290,0.785,1.173,64.4,5.47,85.87
61.9,1.06,79.1,23.12,130.64,38.8,0.251,107.3,194,0.86,98.191,1.86,6365,23.8,794,0.854,0.999,67.6,4.91,17.87
64.5,2.79,66.9,26.31,173.42,34,0.342,169.5,241,1.4,101.429,1.9,4399,20.2,555,0.767,2.077,63.3,7.96,60.45
41.3,1.07,36.4,20.62,72.17,37.8,0.385,254.8,299,0.59,99.724,2.46,6390,34,1740,0.802,0.559,63.9,4.3,31.6
89.1,2.62,63.8,17.98,182.64,30.1,0.259,366,163,0.55,98.968,1.65,7098,20.1,954,0.802,1.506,66.4,8.12,69.89
74.1,2.02,62,30.17,153,43.3,0.376,260.2,75,0.9,99.912,2.92,8617,21,54,0.722,2.01,61.7,7.45,29.8
87,2.88,41.7,20.87,175.49,29.8,0.266,385.3,320,1.33,102.851,1.84,9438,17.9,1487,0.753,1.435,61.6,6.53,134.91
80.2,2.64,91.1,20.6,127.57,27.7,0.225,252.9,82,1.89,99.784,2.97,5111,31.7,787,0.917,0.795,73.1,5.07,14.74
64.3,3.04,88.9,35.53,173.95,35.3,0.347,239.5,111,1.78,100.56,2.21,7752,27,1069,0.82,1.996,68.1,3.57,45.39
87.6,1.72,79.7,49.76,43.24,42.1,0.252,139.5,278,1.26,100.143,2.66,9842,26.8,1745,0.68,1.483,57.3,7.77,38.58
35.3,2.5,62.5,34.17,170.06,35.6,0.249,343.3,352,0.55,100.147,1.51,1509,31.3,507,0.93,1.713,76.2,2.77,181.05
41.8,1.79,57.2,12.89,45.97,31.6,0.251,177.9,144,1.32,102.419,2.86,174,21.8,472,0.884,0.671,71.1,9.8,14.9
33.1,1.94,73.5,13.14,179.54,40.1,0.353,364.6,84,1.54,101.64,1.92,8836,18.8,516,0.755,0.377,63,9.91,8.39
50.3,2.21,66.9,47.47,196.37,33.7,0.355,367.5,242,1.02,97.256,2.57,2022,18.9,687,0.828,1.311,67.4,3.03,98.9
53,2.69,33.9,21.35,86.86,49.2,0.217,385.6,125,0.66,101.059,2.65,426,29.8,218,0.835,0.826,68.9,2.85,33.82
46.6,2.9,63.4,13.96,73.59,46.2,0.199,261.1,298,0.93,103.175,1.8,1621,27.9,1390,0.836,0.707,71,5.25,44.31
79.6,2.55,87,34.75,157.9,37.1,0.244,295.7,132,1.65,99.505,2.11,3866,19.2,410,0.738,1.974,61.9,9.75,60.17
49.8,1.84,62.8,35.28,82.66,33.7,0.265,330.9,74,1.02,101.664,2.3,2218,17.7,1879,0.776,1.43,65.6,5.17,27.44
46.5,1.81,33.4,34.84,181.3,43.5,0.172,136,106,1.71,94.464,1.99,3020,17.4,446,0.775,0.839,62.5,4.88,9.45
63.1,2.39,88.5,21.46,58.54,25.8,0.34,282.6,81,0.95,98.021,2.2,9607,27,521,0.781,1.251,67.7,7.53,22.52
38.2,1.47,43.7,10.99,60.6,37.3,0.249,114.7,368,0.76,104.76,1.88,6896,14.7,595,0.843,0.434,68.6,3.41,14.77
77.5,1.26,49.3,49.84,200.78,32.9,0.182,247.6,61,1.15,101.478,1.98,7139,15.5,1565,0.83,1.898,70.4,5.05,24.84
35,1.71,40.4,20.16,144.12,49.2,0.133,148.8,368,1.15,100.391,2.47,959,21.4,872,0.911,0.79,74.8,4.31,38.71
89.5,1.6,53.4,37.11,177.62,25.2,0.172,155.3,382,0.52,103.663,2.47,7414,28.7,1644,0.686,1.664,57.1,6.94,68.49
76.9,1.6,83.7,38.6,88.6,38.2,0.376,211.1,141,0.67,97.761,1.83,7331,29.4,1574,0.733,1.967,59.9,3.34,44.15
40.6,1.47,65.4,33.61,145.36,42.9,0.19,227,50,0.78,102.489,2.84,6572,23.8,1839,0.831,0.925,69,6.42,9.52
30.6,1.05,44.5,22.27,141.85,37.1,0.153,290.7,375,0.67,98.236,2.77,2275,29.3,1538,0.855,0.41,70.6,8.91,39.35
77.2,1.03,90.1,20.6,135.55,26.9,0.239,121.8,185,1.03,100.143,2.27,4188,25.6,103,0.862,1.134,71.6,6.12,22.74
72.4,2.94,91,34.32,149.15,49.8,0.192,260.1,245,1.9,96.738,2.09,8137,35.9,1642,0.822,1.926,64.3,7.38,98.13
72.2,1.91,90.4,44.86,133.91,37.9,0.113,153.2,182,1.27,99.212,2.05,6676,17.8,1841,0.743,1.79,62.9,2.69,40.74
77.7,1.78,45.4,46.95,108.57,40.1,0.206,277.5,135,1.45,102.598,2.59,7284,27.1,1986,0.781,2.02,68.5,5.71,59.24
35.7,2.42,62.2,13.78,82.43,31.1,0.262,302.7,344,1.03,98.953,2.63,5868,25.2,246,0.918,0.651,77.8,2.76,59
51.4,1.47,100.1,16.31,159.72,36.7,0.267,273.4,328,0.99,100.971,1.82,4448,18.7,1293,0.859,0.429,69,6.81,30.27
36.8,2.85,83.4,46.77,77.43,36.1,0.203,315.7,373,0.53,99.019,2.5,7635,30.7,403,0.893,2.067,75.6,4.3,215.41
83.5,2.57,32.1,38.47,151.68,27,0.244,196.7,229,1.28,100.857,1.85,716,20.8,520,0.756,1.978,61.4,4.21,69.25
68.2,1.22,33.9,47.22,78.63,27.8,0.385,332.5,53,1.23,101.455,1.54,6837,22,1497,0.832,2.017,66.3,2.57,27.9
49.8,1.86,60.9,18.94,141.7,45.6,0.205,230.1,175,0.75,98.601,2.51,9877,22.7,1984,0.719,0.543,57.8,4.31,16.23
34.1,2.79,92.9,33.2,159.73,30.6,0.18,247.8,224,1.67,98.231,2.47,7767,20.1,1195,0.902,1.618,73,6.03,81.15
50.6,2.94,68.6,36.66,75.01,30.4,0.167,301.5,300,1.21,99.184,2.13,2899,24.4,1668,0.96,1.968,76.2,6.84,160.66
48.8,1.95,64.7,38.11,49.69,38.1,0.243,105.7,70,1.01,99.15,2.28,2785,24.4,18,0.859,2.03,69.1,2.52,12.41
72.9,2.25,37.1,26.5,60.51,43.3,0.332,292.5,154,0.73,95.926,2.98,6672,30.2,73,0.728,1.015,61.8,7.53,34.06
69.3,1.34,76.5,10.78,136,26.3,0.158,286.8,115,1.33,100.635,2.39,8878,30.5,1183,0.795,0.544,62.8,5.86,14.19
86.7,2.96,85.9,32.89,177.68,40.5,0.317,198.8,312,1.63,100.734,2.46,5721,18,765,0.875,1.247,75,6.32,65.47
58.5,1.43,55.2,19.71,48.56,28.5,0.106,125.8,98,0.93,96.373,1.58,5342,26.7,1811,0.951,0.95,75.9,8.61,10.94
35.9,2.78,83.7,27.88,152.19,25.3,0.228,132.8,65,0.84,101.64,1.7,1595,31.5,610,0.896,1.775,71.5,4.53,13.02
73.4,2.28,95.9,48.47,99.13,26.3,0.324,383.6,194,1.27,99.18,1.9,7236,17,872,0.896,1.851,71.4,3.37,120.48
74.9,2.23,43.2,25.58,118.18,46.2,0.196,311.6,389,0.73,100.607,2.34,6992,25.2,1017,0.853,1.163,67.7,6.31,119.41
64.3,2.04,67.8,44.72,190.26,28.5,0.271,136.6,299,1.53,99.467,2.74,9321,29.9,542,0.762,1.979,60.6,9.61,62.8
74.2,1.48,52.3,16.93,91.24,26.2,0.168,206.5,392,1.41,100.634,2.07,2938,27.7,1862,0.898,1.001,73.6,6.3,77.39
57.9,1.35,82.8,37.2,112.82,36.3,0.318,280.6,124,0.63,100.186,2.08,7322,17.1,936,0.89,1.176,71.5,8.59,38.19
61,1.52,69.8,49.2,42.7,47,0.114,350.5,339,0.56,101.709,1.9,4359,23.1,829,0.941,1.978,77.4,8.12,222.21
57.5,1.43,74.7,14.42,53.32,32.2,0.353,116,331,1.45,99.968,1.89,5395,26.1,1756,0.748,0.723,59.6,6.12,20.55
30.7,2.48,82.9,10.13,79.27,35.4,0.155,171.7,115,0.94,101.501,3,8083,34.6,594,0.879,0.478,69.6,7.31,8.52
36.2,1.72,57.5,27.73,43.69,26,0.366,362.6,174,0.63,102.837,2.44,2204,18.4,1639,0.814,1.114,67.7,5.49,56.87
31,1.14,93.8,13.84,138.93,35.7,0.209,103.5,368,1.58,99.787,1.8,3412,35.4,253,0.925,0.31,74.6,6.43,10.68
68.6,2.81,68,40.13,106.44,39.2,0.32,159.4,136,0.98,99.448,2.58,7869,22.5,354,0.766,2.063,62.3,5.98,33.25
49.1,2.78,40.4,45.76,128.4,39,0.195,393.3,90,1.19,101.088,2.6,5825,18.9,1884,0.892,1.795,73.2,7.88,56.18
58.8,2.89,77.8,26.94,66.55,33.2,0.364,281.3,235,0.87,95.861,2.5,910,23.7,1638,0.898,1.059,74,5.31,65.53
86.6,2.99,87.2,20.23,88.71,32.8,0.144,185.3,384,1.44,98.237,1.74,4300,27.4,798,0.776,1.253,62.7,2.87,66.92
43.2,1.36,52.6,27.1,141.87,28.1,0.151,116.6,315,0.98,98.174,2.11,5817,19.2,1256,0.735,1.022,61.9,8.14,30.38
56.3,1.8,91.3,39.92,198.24,34.4,0.244,107.9,320,1.98,101.077,1.67,9172,20.7,1923,0.745,1.961,62.4,7.47,52.71
77.4,2.55,90.2,10.39,51.01,26.8,0.12,174.3,91,1.53,100.299,2.66,1882,31.5,435,0.819,0.408,64.3,9.64,5.08
44,2.47,48.7,34.11,185.3,44.7,0.154,361.4,142,0.69,102.534,2.47,8133,33.9,115,0.891,1.922,71.5,5.42,83.59
35.2,1.33,101.8,33.53,130.86,48.6,0.386,214.9,234,1.12,102.409,2.31,1277,21.8,1043,0.916,1.291,75.8,2.64,61.5
47.2,2.69,39.8,34.2,128.92,48.2,0.39,328.8,264,1.08,96.057,1.98,2433,17.8,288,0.878,1.77,70.4,2.97,127.18
38.5,1.42,44,19.61,117.35,45.6,0.209,381.7,66,1.26,96.597,1.78,2365,29.8,380,0.782,0.792,65.8,8.13,15.83
86.2,1.51,42.8,37.58,52.21,40.2,0.371,217.3,314,1.76,100.045,1.66,8638,28,1781,0.777,1.388,63.5,2.52,73.05
76,2.09,95.5,13.67,54.56,43.4,0.261,154.2,163,1.37,96.858,2.92,1994,17,15,0.772,0.511,63.4,9.11,10.4
68,2.17,74.7,17.67,131.22,32,0.179,248.2,341,0.59,96.019,1.84,7563,34,1682,0.783,1.298,69.5,4.28,93.55
80.3,2.18,41.2,45.37,91.8,41.5,0.319,372.1,341,1.54,98.51,1.61,4416,16,1029,0.791,2.056,62.2,9.16,197.71
79.7,1.17,61.1,38.93,180.2,36.5,0.295,352.1,97,0.5,95.81,3,9760,27.8,1149,0.816,1.253,68.6,8.1,33.18
41.5,2.76,71.1,10.67,106.66,35.5,0.398,119.3,356,1.7,97.94,2.37,8233,23.2,1328,0.881,0.558,70.3,8.7,21.57
84.7,1.54,35.6,19.58,61.66,44.5,0.18,305.6,146,1.51,101.375,2.7,7274,25.9,904,0.717,1.408,57.6,3.75,45.43
62.8,1.24,90.2,17.88,156.93,31.7,0.302,277.4,144,0.95,98.986,1.61,8616,19.4,227,0.775,0.811,66.4,6.86,25.66
81.4,2.79,84.1,21.19,85.97,32.4,0.115,375.4,375,0.94,102.984,2.29,6379,28.8,211,0.749,1.14,62.6,2.7,118.29
85.5,2.87,66.9,19.6,126.04,48.7,0.133,136.9,123,1.73,98.832,2.09,8767,33.5,1480,0.754,1.403,59.5,3.63,17.27
50.8,2.69,95.3,12.84,150.87,26.5,0.102,264.6,385,1.68,101.062,2.67,2578,23.5,449,0.872,0.761,71.7,4.43,66.19
35.9,2.57,60.1,27.99,187.54,37.1,0.402,351.7,117,0.99,98.94,1.5,984,25.5,56,0.84,0.668,67,8.04,23.35
43.2,2.29,97.2,38.66,164.11,47.9,0.336,225.6,295,0.96,99.556,2.16,6313,19.8,1970,0.812,1.185,65.3,2.18,64.98
52.9,2.08,78.8,34.07,146.04,39.6,0.317,251.4,126,1.36,99.186,2.65,4440,34.5,1987,0.846,1.484,67.3,9.13,39.98
78.5,1.19,73.8,36.5,147.39,40,0.25,118.4,257,0.51,101.103,2.29,4197,32.9,760,0.895,1.676,72.4,2.57,48.79
81.6,1.86,41.9,13.28,194.54,31.4,0.185,182.5,303,0.63,101.432,2.36,5359,30.8,51,0.848,0.61,68.4,4.97,27.22
30.7,1.77,90.7,48.45,85.44,33.7,0.143,190.1,270,0.7,104.111,1.72,3707,25,1400,0.869,1.147,69.5,2.62,54.42
60,1.55,57.3,44.02,39.71,46.2,0.18,381,311,0.8,100.02,1.64,6452,33.9,1708,0.728,0.99,61.2,8.05,85.35
55.9,2.49,40,42.13,83.1,37.7,0.218,182.8,380,1.29,101.049,2.55,315,17.9,258,0.911,1.117,73.8,3.1,73.92
43.9,1.95,29.7,41.63,75.46,37.4,0.334,246.9,393,2.09,97.927,2.5,9485,24.8,270,0.827,1.363,68.2,9.01,101.29
36.8,1.15,69.5,48.94,144.74,26.8,0.266,299.3,308,1.51,101.325,3.01,9291,26,1663,0.826,1.336,64.2,6.24,99.95
49.3,1.49,66.9,31.54,143.03,24.7,0.122,149.9,357,0.59,100.003,2.62,9224,25.5,1894,0.888,1.254,70.3,9.56,57.75
86.7,2.34,81.3,17.86,132.94,47.6,0.104,253.1,123,1.31,94.67,2.26,3555,31.2,1601,0.807,1.155,65.3,4.37,27.92
49.5,1.19,91.1,34.61,43.44,34,0.127,308.2,174,1.25,98.239,2.79,5370,29,397,0.806,1.028,67.1,5.5,46.16
60.4,2.68,34,39.51,158.97,40.1,0.227,361.7,237,0.71,95.839,1.62,9580,18,803,0.814,1.674,62.4,7.87,116.69
71.8,1.91,83.3,38.13,90.71,26.2,0.387,282.1,303,1.84,98.514,2.13,9054,22,1217,0.714,1.809,60.8,8.66,117.71
50.3,1.95,44,31.21,148.52,42.7,0.294,294.8,370,1.16,100.61,1.96,7827,22.3,321,0.805,0.899,65.9,5.48,74.67
89.5,2.22,90.7,12.53,126.24,48.6,0.333,135.8,357,2.03,99.395,1.63,4273,26.4,421,0.823,0.511,65.5,9.23,20.16
89,2.74,89.3,24.68,95.14,39.2,0.238,380.7,284,1.11,101.206,2.67,5814,20.8,557,0.88,1.388,71.3,2.95,133.4
45.2,1.65,67.7,48.48,60.56,29.4,0.208,137.2,299,1.42,95.273,2.33,7863,17.1,1012,0.882,2.053,69.8,7.74,70.78
60.8,2.4,80.1,34.01,55.45,39.4,0.128,330.3,381,0.65,101.873,2.27,2729,28.3,1028,0.803,1.417,68.3,4.82,143.62
48.2,2.17,51.3,32.55,172.46,44.9,0.373,183.3,394,1.18,100.461,2.17,6327,32.2,1619,0.885,1.975,73,2.8,121.76
48.6,1.57,61.6,20.47,184.11,35.3,0.326,384.5,121,0.86,97.439,2.25,8449,33.9,1507,0.857,0.668,68.3,5.34,25.75
31.4,2.61,84.8,25.1,139.44,48.3,0.148,333.8,284,1.76,99.928,1.69,7143,35.2,1826,0.907,0.909,77.7,9.24,76.47
66.8,2.68,61.2,46.18,56.3,42.1,0.245,328,373,1.75,104.364,2.48,4806,31.2,1688,0.912,1.996,74.6,9.53,222.97
61.2,2.34,58,36.62,106.81,47.2,0.245,168,205,1.72,102.928,2.17,5680,17.3,493,0.856,1.094,68.8,5.25,32.29
34.1,2.73,62.6,40.87,157.52,40.4,0.286,239.2,164,1.59,103.34,2.72,10275,31.1,658,0.876,1.148,72.5,9.1,37.96
47.5,2.79,86.3,28.78,159.62,27.5,0.391,279.2,362,1.74,99.556,1.77,5944,23.1,979,0.809,1.943,62.7,6.28,156.45
82.7,2.32,53.6,34.85,58.64,32.8,0.269,339.8,277,0.78,102.239,1.81,8023,29,29,0.745,2.006,59.7,7.69,135.3
42.9,2.73,44.2,19.99,40.96,30.4,0.256,128.9,371,1.2,102.571,2.43,7271,25.6,1779,0.872,0.485,71.8,2.25,21.87
38.6,2.51,78.2,38.92,152.99,47.7,0.115,392.8,395,1.51,97.877,2.7,7190,31,90,0.806,0.862,67.5,6.41,111.64
59.8,2.3,86.7,26.57,95.17,45.2,0.114,374.5,294,1.5,102.569,2.18,6977,23.6,640,0.938,1.894,73.3,2.48,196.9
90.8,2.23,37.5,27.1,83.54,42,0.16,174.4,355,1.55,102.088,2.5,4486,15.9,1125,0.789,2.024,62.3,4.09,98.63
43.5,2.51,47.4,37.78,41.15,33.3,0.107,344.6,63,0.84,98.639,3.07,4728,26.3,1018,0.881,1.541,73.6,6.46,30.9
71.2,1.33,39.4,46.64,125.88,29.5,0.335,255.4,65,0.67,100.165,3.02,4593,18,1315,0.872,1.356,73.4,8.52,19.79
71.6,2.79,53.4,12.97,174.02,42.9,0.312,233.4,91,1.89,102.674,2.57,329,34.4,1028,0.791,1.068,62,6.52,19.57
43.6,2.71,62.1,42.94,195.74,36.4,0.137,195.8,159,1.33,99.847,2.58,2473,24.7,457,0.99,1.676,78.7,9.61,48.48
75,1.06,81.9,21.51,131.78,30.6,0.355,283.9,327,0.72,101.741,1.9,1563,25.5,401,0.835,0.78,68.7,8.58,55.66
50.8,2.74,76,27.58,120.12,39.8,0.148,313.1,373,1.62,99.028,2.82,9121,33.6,1796,0.823,1.654,70.9,3.38,162.89
66.4,1.27,73.2,10.86,52.86,25.1,0.192,228.8,68,1.86,97.798,2.11,2753,28.2,530,0.934,0.361,76,5.11,5.49
67.3,1.68,55.1,22.63,128.17,31.8,0.175,291.9,115,0.73,97.588,2.93,1380,21.4,557,0.814,1.143,67.2,7.42,31.27
62.4,2.45,89.7,30.56,101.24,37.5,0.221,301.7,216,1.73,99.416,1.57,1166,21.2,831,0.876,1.993,71.5,9.68,116.63
34.6,1.36,60.5,12.2,136.51,28.9,0.172,311,122,1.89,100.867,2.14,7147,25.8,276,0.872,0.472,73.6,9.77,15.19
80.1,2.62,97.6,28.54,101.57,49.9,0.253,116.3,359,1.91,96.464,2.28,61,33,999,0.958,1.711,76.8,7.9,67.99
48.8,2.56,74.9,47.1,76.52,30.3,0.215,369.6,161,1.83,103.85,2.06,4731,29.9,1337,0.941,1.74,75.8,6.64,97.81
42.1,2.03,39.5,14.25,57.24,27.9,0.409,241.5,323,1.31,102.095,1.86,1175,34.9,1597,0.82,0.433,65.1,7.99,26.41
32.1,1.03,76.8,41.6,91.54,30.6,0.118,176.5,134,1.05,101.012,2.38,8980,16.7,1504,0.858,0.822,67.3,4.25,17.02
65.5,1.56,50.8,25.61,55.47,42.7,0.147,174.1,188,0.51,101.599,2.64,9608,19.6,293,0.862,1.138,71.7,4.33,30.94
70.9,2.13,80,35.85,69.64,34.2,0.118,231.4,88,0.57,98.669,2.49,9450,16.4,926,0.724,1.827,59.4,7.38,30.22
30.7,2.9,35.5,20.2,197.17,39,0.275,373,154,1.16,97.008,1.85,4317,31,76,0.894,0.529,73.6,8.83,25.87
61.7,2.26,42.3,16.36,109.25,25.6,0.116,210.4,373,1.08,100.797,2.6,6513,17.8,36,0.907,0.54,71.2,9.65,37.46
44.4,1.51,89.1,16.45,125.97,25.4,0.342,318.4,330,0.75,102.048,1.89,5907,16.6,903,0.912,0.459,72.3,4.74,45.34
68,2.29,46.5,12.93,180.28,35,0.261,128.4,172,1.09,98.973,1.75,3469,26.7,507,0.831,0.74,67.3,8.34,13.42
40.7,2.1,87.8,16.77,205.99,46,0.262,237,267,0.8,98.11,2.55,4305,23.1,1386,0.908,0.733,77.9,8.89,45.15
70.1,2.54,50.4,36.7,131.27,46.7,0.269,396.3,110,1.76,98.905,2.76,644,29.1,1461,0.865,2.057,70.7,7.18,75.26
53.8,1.18,77.7,45.49,166.72,27.5,0.15,338.4,149,0.95,100.949,2.23,7966,25.2,1791,0.741,1.921,61,4.77,72.66
86.6,2.6,77.8,42.63,96.19,39.5,0.161,156.9,356,1.42,101.193,2.3,2498,23.7,1508,0.933,2.047,74.4,6.76,109.22
38,2.11,66.9,37.27,91.03,46.3,0.192,250.3,253,1.23,103.617,2.03,4556,23.5,96,0.908,1.361,72.2,6.41,74.37
50.8,2.97,50.7,13.43,105.76,34.8,0.28,169.7,307,0.58,100.871,2.29,4595,32.7,724,0.868,0.454,71.1,6.68,20.86
37.2,1.7,45.8,21.81,145.58,46,0.163,225.4,54,1.88,98.295,1.72,5582,22.8,557,0.83,0.76,68.5,6.77,7.25
87.6,2.31,32.2,21.96,150.4,28.8,0.133,333.1,246,1.31,99.398,2.96,8392,22.1,801,0.69,1.266,56.2,8.89,67.93
83.3,2.84,52.8,20.24,88.1,47.9,0.396,338,229,1,97.892,2.72,7003,21.2,311,0.812,0.843,68,3.36,53.71
46.3,1.22,75.3,31.37,60.68,43.8,0.111,173.2,391,0.74,102.183,2.49,6775,18.9,199,0.915,1.413,77.5,4.95,88.85
72.3,2.91,94,30.37,137.9,49.2,0.331,384.9,182,1.01,97.743,2.36,5315,31.9,1041,0.864,1.717,71.3,6.78,100.58
77.4,2.41,90.4,24.56,59.62,42.3,0.343,274,373,0.55,98.839,2.71,951,18,1422,0.922,1.683,75.6,4.38,164.01
